Designator,Mid X,Mid Y,Rotation,Layer
C1,69.088,-20.574,180.0,top
C2,41.275,-17.78,90.0,top
C3,41.275,-11.684,90.0,top
C4,24.892,-20.066,180.0,top
C5,38.354,-11.684,90.0,top
C6,24.892,-17.526,180.0,top
D1,97.282,-25.908,180.0,top
J1,83.287,-17.003,180.0,top
J2,12.192,-22.352,0.0,top
J3,104.648,-22.384,0.0,top
R1,94.234,-20.574,180.0,top
R2,43.815,-20.32,90.0,top
R3,43.815,-15.24,270.0,top
U1,74.755,-13.935,0.0,top
U2,32.44215,-15.875,180.0,top
