SmartShelfy	1321477	8491321	8667116	8932268	8568673	
SmartShelfy	1321979	8491389	8667143	8932287	8568674	
SmartShelfy	1322480	8491770	8666690	8931811	8569228	
SmartShelfy	1322981	8491784	8666623	8931681	8569244	
SmartShelfy	1323482	8491375	8667071	8932097	8568769	
SmartShelfy	1323983	8491505	8666924	8932016	8568897	
SmartShelfy	1324485	8490580	8667957	8933020	8567872	
SmartShelfy	1324986	8490174	8668322	8933347	8567586	
SmartShelfy	1325487	8492103	8666812	8931653	8569487	
SmartShelfy	1325988	8491890	8666593	8931583	8569303	
SmartShelfy	1326489	8491423	8667081	8932213	8568769	
SmartShelfy	1326991	8492213	8665209	8975003	8571164	
SmartShelfy	1327492	8491864	8665868	8975236	8570817	
SmartShelfy	1327993	8492346	8665505	8974681	8570981	
SmartShelfy	1328494	8492897	8664777	8974114	8571855	
SmartShelfy	1328995	8492599	8665027	8974427	8571598	
SmartShelfy	1329496	8493520	8664180	8973535	8572543	
SmartShelfy	1329997	8493301	8664316	8973766	8572287	
SmartShelfy	1330498	8494089	8663544	8972972	8573064	
SmartShelfy	1331000	8494034	8663712	8973056	8573030	
SmartShelfy	1331501	8492552	8665956	8930946	8570115	
SmartShelfy	1332002	8492616	8665943	8930979	8570051	
SmartShelfy	1332503	8492767	8665075	8970088	8576139	
SmartShelfy	1333005	8492738	8665212	8970107	8576105	
SmartShelfy	1333506	8492831	8665120	8970026	8576176	
SmartShelfy	1334007	8492208	8665584	8970673	8575564	
SmartShelfy	1334508	8493057	8664820	8969704	8576176	
SmartShelfy	1335009	8492812	8665199	8970051	8576165	
SmartShelfy	1335510	8493059	8664925	8969857	8576371	
SmartShelfy	1336011	8493107	8664825	8969830	8576344	
SmartShelfy	1336513	8493079	8664819	8969788	8576321	
SmartShelfy	1337014	8493103	8664837	8969796	8576377	
SmartShelfy	1338016	8492148	8666494	8931350	8569682	
SmartShelfy	1338517	8492115	8666532	8935132	8569705	
SmartShelfy	1339018	8492630	8665074	8966046	8580128	
SmartShelfy	1339519	8492934	8664801	8965819	8580478	
SmartShelfy	1340020	8492028	8665607	8966753	8579646	
SmartShelfy	1340521	8491005	8666719	8967695	8578589	
SmartShelfy	1341022	8491026	8666621	8967604	8578585	
SmartShelfy	1341524	8491364	8666445	8967414	8578884	
SmartShelfy	1342025	8491871	8665802	8966865	8579496	
SmartShelfy	1342526	8490965	8666569	8967503	8578839	
SmartShelfy	1343027	8492338	8665860	8966671	8579362	
SmartShelfy	1343528	8493146	8664569	8965575	8580741	
SmartShelfy	1344030	8493539	8664579	8959548	8580764	
SmartShelfy	1344531	8492985	8665546	8930466	8570546	
SmartShelfy	1345032	8493328	8665231	8930154	8570803	
SmartShelfy	1345533	8493458	8665076	8929989	8571089	
SmartShelfy	1346034	8493566	8665045	8929938	8571125	
SmartShelfy	1346536	8493513	8665017	8929961	8571058	
SmartShelfy	1347037	8493777	8663986	8960776	8585448	
SmartShelfy	1347538	8493924	8663875	8960617	8585565	
SmartShelfy	1348039	8493923	8663929	8960657	8585595	
SmartShelfy	1348540	8493705	8664089	8960901	8585365	
SmartShelfy	1349042	8493414	8664463	8961178	8585122	
SmartShelfy	1349543	8493079	8664740	8961486	8584757	
SmartShelfy	1350044	8493027	8664817	8961530	8584681	
SmartShelfy	1350545	8493155	8664663	8961411	8584747	
SmartShelfy	1351046	8493436	8664427	8961148	8584960	
SmartShelfy	1351548	8493531	8664948	8930004	8571024	
SmartShelfy	1352050	8493399	8665070	8930107	8570893	
SmartShelfy	1352551	8493416	8665014	8933593	8572277	
SmartShelfy	1353053	8493005	8664720	8957306	8589039	
SmartShelfy	1353554	8492932	8664823	8957356	8588962	
SmartShelfy	1354055	8493027	8664788	8957370	8589024	
SmartShelfy	1354556	8493255	8664522	8957131	8589327	
SmartShelfy	1355057	8493496	8664273	8956883	8589529	
SmartShelfy	1355559	8493682	8664001	8956716	8589680	
SmartShelfy	1356060	8493623	8664123	8956718	8589675	
SmartShelfy	1356561	8493429	8664316	8956931	8589350	
SmartShelfy	1357062	8493274	8664456	8957058	8589360	
SmartShelfy	1357564	8494387	8663448	8956031	8590380	
SmartShelfy	1358064	8494776	8663059	8955681	8590794	
SmartShelfy	1358566	8494790	8662889	8955583	8590922	
SmartShelfy	1359067	8494631	8663082	8955685	8590640	
SmartShelfy	1359568	8493769	8663983	8956643	8589779	
SmartShelfy	1360069	8493742	8664642	8929667	8571326	
SmartShelfy	1360570	8493636	8664836	8929845	8571347	
SmartShelfy	1361071	8492905	8665018	8953376	8593016	
SmartShelfy	1361573	8492804	8665136	8953454	8592952	
